Model,RMSD,MCQ,TM-score
trrosettarna_rp14_bound_1.pdb,2.082,29.36,0.806
trrosettarna_rp14_bound_3.pdb,2.385,36.02,0.786
vfoldpipeline_rp14_bound.pdb,2.631,17.31,0.665
trrosettarna_rp14_bound_4.pdb,2.699,31.63,0.778
trrosettarna_rp14_bound_2.pdb,2.76,29.19,0.764
best_rp14_bound_52.pdb,5.089,21.4,0.425
best_rp14_bound_46.pdb,5.932,20.67,0.43
best_rp14_bound_38.pdb,5.978,18.77,0.336
rhofold_rp14_bound.pdb,6.433,57.6,0.31
best_rp14_bound_55.pdb,7.035,21.8,0.43
best_rp14_bound_17.pdb,7.559,23.38,0.344
best_rp14_bound_37.pdb,7.666,22.32,0.347
best_rp14_bound_40.pdb,7.687,19.26,0.313
best_rp14_bound_50.pdb,7.718,23.79,0.297
best_rp14_bound_51.pdb,7.763,18.86,0.308
best_rp14_bound_43.pdb,8.16,18.79,0.306
best_rp14_bound_29.pdb,8.366,22.81,0.344
alphafold3_rp14_bound_1.pdb,8.525,12.6,0.358
alphafold3_rp14_bound_4.pdb,9.108,12.57,0.342
best_rp14_bound_21.pdb,9.769,21.59,0.301
best_rp14_bound_25.pdb,9.769,21.59,0.301
alphafold3_rp14_bound_3.pdb,9.912,12.69,0.347
trrosettarna_rp14_bound_5.pdb,9.915,56.94,0.22
alphafold3_rp14_bound_2.pdb,10.329,12.63,0.323
alphafold3_rp14_bound_5.pdb,10.799,12.65,0.359
best_rp14_bound_33.pdb,10.926,19.01,0.388
best_rp14_bound_24.pdb,11.002,20.34,0.313
best_rp14_bound_39.pdb,11.255,23.48,0.237
best_rp14_bound_41.pdb,11.26,23.41,0.324
best_rp14_bound_23.pdb,11.568,18.74,0.297
best_rp14_bound_57.pdb,11.568,18.74,0.297
best_rp14_bound_63.pdb,11.694,21.18,0.288
best_rp14_bound_45.pdb,11.73,25.92,0.28
best_rp14_bound_61.pdb,11.854,19.43,0.27
best_rp14_bound_16.pdb,11.881,20.27,0.29
best_rp14_bound_20.pdb,11.965,22.06,0.301
best_rp14_bound_32.pdb,12.147,23.24,0.321
mcsym_rp14_bound_1.pdb,12.236,35.68,0.229
3drna_rp14_bound_3.pdb,12.392,31.76,0.198
best_rp14_bound_59.pdb,12.431,21.76,0.287
best_rp14_bound_22.pdb,12.431,21.76,0.287
best_rp14_bound_27.pdb,12.52,22.01,0.293
best_rp14_bound_7.pdb,12.52,22.01,0.293
best_rp14_bound_19.pdb,12.705,25.83,0.307
best_rp14_bound_49.pdb,12.867,24.79,0.199
best_rp14_bound_60.pdb,12.879,21.11,0.265
best_rp14_bound_47.pdb,12.989,22.46,0.219
best_rp14_bound_4.pdb,13.022,23.58,0.242
best_rp14_bound_6.pdb,13.195,21.43,0.293
isrna_rp14_bound.pdb,13.497,18.55,0.233
best_rp14_bound_2.pdb,13.92,25.21,0.264
best_rp14_bound_35.pdb,13.998,24.17,0.231
best_rp14_bound_64.pdb,14.029,21.13,0.29
mcsym_rp14_bound_3.pdb,14.032,35.43,0.208
best_rp14_bound_62.pdb,14.037,21.12,0.298
best_rp14_bound_42.pdb,14.088,21.34,0.314
best_rp14_bound_31.pdb,14.255,23.79,0.265
rnajp_rp14_bound.pdb,14.478,23.6,0.234
best_rp14_bound_9.pdb,14.501,24.3,0.271
best_rp14_bound_13.pdb,14.589,18.87,0.262
3drna_rp14_bound_2.pdb,14.607,32.82,0.172
best_rp14_bound_14.pdb,14.653,22.54,0.261
mcsym_rp14_bound_4.pdb,14.655,36.74,0.21
best_rp14_bound_26.pdb,14.81,20.9,0.342
best_rp14_bound_8.pdb,15.158,15.43,0.355
3drna_rp14_bound_1.pdb,15.188,26.76,0.321
best_rp14_bound_34.pdb,15.194,22.42,0.325
mcsym_rp14_bound_5.pdb,15.375,35.42,0.182
best_rp14_bound_54.pdb,15.394,23.49,0.245
best_rp14_bound_36.pdb,15.429,23.87,0.212
best_rp14_bound_30.pdb,15.45,28.58,0.2
best_rp14_bound_10.pdb,15.468,23.04,0.224
best_rp14_bound_58.pdb,15.627,24.5,0.21
mcsym_rp14_bound_2.pdb,15.725,36.63,0.232
best_rp14_bound_11.pdb,15.809,22.21,0.246
best_rp14_bound_12.pdb,15.809,22.21,0.246
best_rp14_bound_44.pdb,15.811,19.76,0.345
best_rp14_bound_48.pdb,15.968,23.93,0.236
best_rp14_bound_3.pdb,16.074,16.47,0.363
best_rp14_bound_28.pdb,16.141,27.02,0.195
best_rp14_bound_1.pdb,16.256,18.83,0.293
vfold_rp14_bound.pdb,16.349,24.52,0.225
rnacomposer_rp14_bound.pdb,16.466,18.42,0.305
best_rp14_bound_15.pdb,16.665,22.22,0.242
best_rp14_bound_5.pdb,16.7,20.1,0.349
best_rp14_bound_18.pdb,16.917,23.91,0.297
3drna_rp14_bound_4.pdb,17.324,31.15,0.181
best_rp14_bound_56.pdb,17.385,21.58,0.278
best_rp14_bound_53.pdb,17.47,23.13,0.24
3drna_rp14_bound.pdb,18.312,33.46,0.199
3drna_rp14_bound_5.pdb,18.956,34.14,0.219
ifoldrna_rp14_bound_3.pdb,19.679,33.08,0.142
ifoldrna_rp14_bound_1.pdb,21.173,30.3,0.135
ifoldrna_rp14_bound_4.pdb,21.482,33.42,0.137
eprna_rp14_bound.pdb,22.293,94.82,0.127
ifoldrna_rp14_bound_2.pdb,23.676,32.26,0.112
ifoldrna_rp14_bound_5.pdb,32.762,32.15,0.137
simrna_rp14_bound.pdb,48.416,49.07,0.09
