Model,RMSD,MCQ,TM-score
trrosettarna_rp14_free_1.pdb,2.526,31.26,0.662
trrosettarna_rp14_free_2.pdb,2.661,35.57,0.67
vfoldpipeline_rp14_free.pdb,2.726,22.26,0.626
trrosettarna_rp14_free_3.pdb,2.803,40.22,0.611
3drna_rp14_free_1.pdb,3.767,21.18,0.528
alphafold3_rp14_free_2.pdb,3.838,19.15,0.478
alphafold3_rp14_free_1.pdb,4.28,19.6,0.426
alphafold3_rp14_free_4.pdb,4.305,20.15,0.41
alphafold3_rp14_free_3.pdb,4.539,19.61,0.423
alphafold3_rp14_free_5.pdb,4.665,19.44,0.41
simrna_rp14_free.pdb,9.65,25.32,0.279
mcsym_rp14_free_4.pdb,13.22,38.21,0.244
rnacomposer_rp14_free.pdb,14.399,24.14,0.302
3drna_rp14_free_4.pdb,14.753,21.73,0.363
3drna_rp14_free_2.pdb,14.861,24.28,0.383
3drna_rp14_free_5.pdb,14.873,26.06,0.385
3drna_rp14_free_3.pdb,15.217,24.6,0.377
3drna_rp14_free.pdb,15.356,36.41,0.307
rnajp_rp14_free.pdb,15.37,23.34,0.228
rhofold_rp14_free.pdb,15.42,50.77,0.261
isrna_rp14_free.pdb,15.444,24.89,0.219
mcsym_rp14_free_1.pdb,15.8,39.6,0.304
trrosettarna_rp14_free_5.pdb,15.977,59.19,0.172
trrosettarna_rp14_free_4.pdb,15.987,61.14,0.199
mcsym_rp14_free_2.pdb,17.28,37.61,0.268
mcsym_rp14_free_5.pdb,19.014,36.4,0.272
mcsym_rp14_free_3.pdb,19.248,35.54,0.227
vfold_rp14_free.pdb,19.278,33.18,0.227
eprna_rp14_free.pdb,21.81,85.86,0.12
ifoldrna_rp14_free_5.pdb,23.34,32.49,0.165
ifoldrna_rp14_free_4.pdb,30.341,33.24,0.142
ifoldrna_rp14_free_3.pdb,30.548,32.56,0.172
ifoldrna_rp14_free_1.pdb,30.746,31.43,0.202
ifoldrna_rp14_free_2.pdb,31.269,33.02,0.192
best_rp14_free_25.pdb,,,0.347
best_rp14_free_19.pdb,,,0.299
best_rp14_free_28.pdb,,,0.287
best_rp14_free_40.pdb,,,0.201
best_rp14_free_2.pdb,,,0.369
best_rp14_free_47.pdb,,,0.313
best_rp14_free_39.pdb,,,0.286
best_rp14_free_45.pdb,,,0.321
best_rp14_free_15.pdb,,,0.345
best_rp14_free_46.pdb,,,0.26
best_rp14_free_21.pdb,,,0.267
best_rp14_free_31.pdb,,,0.318
best_rp14_free_12.pdb,,,0.329
best_rp14_free_29.pdb,,,0.322
best_rp14_free_42.pdb,,,0.216
best_rp14_free_8.pdb,,,0.335
best_rp14_free_22.pdb,,,0.265
best_rp14_free_51.pdb,,,0.279
best_rp14_free_44.pdb,,,0.318
best_rp14_free_33.pdb,,,0.311
best_rp14_free_30.pdb,,,0.276
best_rp14_free_32.pdb,,,0.293
best_rp14_free_41.pdb,,,0.293
best_rp14_free_43.pdb,,,0.26
best_rp14_free_35.pdb,,,0.215
best_rp14_free_50.pdb,,,0.326
best_rp14_free_1.pdb,,,0.288
best_rp14_free_48.pdb,,,0.263
best_rp14_free_11.pdb,,,0.299
best_rp14_free_52.pdb,,,0.252
best_rp14_free_18.pdb,,,0.315
best_rp14_free_4.pdb,,,0.407
best_rp14_free_10.pdb,,,0.264
best_rp14_free_5.pdb,,,0.322
best_rp14_free_20.pdb,,,0.257
best_rp14_free_34.pdb,,,0.317
best_rp14_free_14.pdb,,,0.311
best_rp14_free_17.pdb,,,0.319
best_rp14_free_24.pdb,,,0.348
best_rp14_free_38.pdb,,,0.358
best_rp14_free_9.pdb,,,0.26
best_rp14_free_23.pdb,,,0.267
best_rp14_free_37.pdb,,,0.407
best_rp14_free_3.pdb,,,0.393
best_rp14_free_26.pdb,,,0.288
best_rp14_free_36.pdb,,,0.274
best_rp14_free_49.pdb,,,0.321
best_rp14_free_6.pdb,,,0.357
best_rp14_free_7.pdb,,,0.343
best_rp14_free_27.pdb,,,0.214
best_rp14_free_16.pdb,,,0.318
best_rp14_free_13.pdb,,,0.336
