Model,RMSD,MCQ,TM-score
rhofold_rp17.pdb,8.464,59.28,0.371
trrosettarna_rp17_4.pdb,12.437,41.09,0.549
eprna_rp17.pdb,13.999,98.65,0.14
alphafold3_rp17_3.pdb,15.811,24.84,0.264
trrosettarna_rp17_1.pdb,16.356,35.2,0.554
trrosettarna_rp17_3.pdb,16.359,41.28,0.553
trrosettarna_rp17_2.pdb,16.383,37.79,0.559
vfold_rp17.pdb,17.574,32.65,0.138
3drna_rp17.pdb,18.234,37.94,0.146
trrosettarna_rp17_5.pdb,19.265,43.45,0.256
ifoldrna_rp17_4.pdb,19.43,31.2,0.135
mcsym_rp17_3pdb.pdb,19.581,40.86,0.158
mcsym_rp17_4.pdb,19.81,41.81,0.163
mcsym_rp17_5.pdb,20.316,41.73,0.171
3drna_rp17_1.pdb,20.342,42.13,0.197
3drna_rp17_3.pdb,20.571,39.6,0.188
mcsym_rp17_1.pdb,20.69,43.15,0.139
ifoldrna_rp17_3.pdb,20.839,31.23,0.14
rnajp_rp17.pdb,20.869,29.75,0.157
alphafold3_rp17_2.pdb,21.095,25.42,0.271
alphafold3_rp17_1.pdb,21.147,25.33,0.263
ifoldrna_rp17_2.pdb,21.299,30.68,0.142
alphafold3_rp17_4.pdb,21.348,25.39,0.27
alphafold3_rp17_5.pdb,21.359,25.08,0.272
ifoldrna_rp17_1.pdb,21.466,32.09,0.191
3drna_rp17_4.pdb,21.701,45.87,0.167
mcsym_rp17_2.pdb,21.768,40.72,0.185
3drna_rp17_2.pdb,22.865,37.24,0.2
3drna_rp17_5.pdb,23.493,48.46,0.196
rnacomposer_rp17.pdb,24.821,30.6,0.193
isrna_rp17.pdb,26.623,28.32,0.211
ifoldrna_rp17_5.pdb,27.009,30.28,0.126
vfoldpipeline_rp17.pdb,30.355,26.68,0.185
simrna_rp17.pdb,48.904,46.6,0.085
best_rp17_12.pdb,,,0.292
best_rp17_94.pdb,,,0.226
best_rp17_87.pdb,,,0.275
best_rp17_83.pdb,,,0.178
best_rp17_30.pdb,,,0.174
best_rp17_22.pdb,,,0.263
best_rp17_51.pdb,,,0.223
best_rp17_4.pdb,,,0.19
best_rp17_13.pdb,,,0.162
best_rp17_66.pdb,,,0.219
best_rp17_53.pdb,,,0.2
best_rp17_67.pdb,,,0.248
best_rp17_71.pdb,,,0.248
best_rp17_75.pdb,,,0.22
best_rp17_89.pdb,,,0.198
best_rp17_55.pdb,,,0.264
best_rp17_1.pdb,,,0.211
best_rp17_59.pdb,,,0.194
best_rp17_104.pdb,,,0.216
